rent_approval_date,town,block,street_name,flat_type,predicted_monthly_rent
2023-02,jurong west,156,yung loh road,4,2618.77294921875
2021-05,woodlands,876,Woodlands Avenue 9,3,1842.8919677734375
2022-01,clementi,506,west coast drive,3,2489.776123046875
2021-05,jurong west,664a,jurong west street 64,4,2393.866455078125
2022-01,jurong east,216,jurong east street 21,5,2307.584716796875
2022-10,hougang,241,Hougang Street 22,2,2747.07470703125
2022-03,woodlands,589,Woodlands Drive 16,4,2388.6005859375
2021-09,yishun,215,Yishun Street 21,2,1778.7037353515625
2022-11,bukit batok,168,Bukit Batok West Avenue 8,3,3016.17529296875
2021-09,woodlands,669,Woodlands Ring Road,3,2084.2822265625
2022-07,hougang,160,Hougang Street 11,3,2820.4921875
2023-05,sengkang,266b,Compassvale Bow,3,2822.50537109375
2022-12,serangoon,217,serangoon avenue 4,2,2215.9365234375
2022-05,woodlands,310,woodlands street 31,2,2173.753662109375
2021-10,sengkang,316a,anchorvale link,4,2148.513427734375
2021-11,geylang,67,circuit road,2,2214.998291015625
2022-08,punggol,192,Punggol Central,4,2786.523681640625
2022-03,tampines,116,Simei Street 1,3,2550.809326171875
2021-03,sengkang,119d,rivervale drive,4,2024.04638671875
2021-05,bukit merah,39,Jalan Rumah Tinggi,3,2810.595458984375
2022-01,jurong west,152,yung ho road,3,2356.05859375
2022-07,clementi,341,clementi avenue 5,2,2237.32177734375
2022-12,woodlands,216,marsiling lane,4,2601.561279296875
2021-08,pasir ris,639,Pasir Ris Drive 1,4,2540.998046875
2022-11,woodlands,687a,woodlands drive 75,4,2634.945556640625
2022-05,punggol,184,edgefield plains,4,2745.14990234375
2022-07,kallang/whampoa,42,Cambridge Road,3,2961.46044921875
2022-02,choa chu kang,119,Teck Whye Lane,3,2109.788818359375
2023-04,pasir ris,139,pasir ris street 11,4,3533.353271484375
2022-06,sengkang,121c,Sengkang East Way,3,2043.4307861328125
2021-09,tampines,204,tampines street 21,2,1963.6986083984375
2022-11,bedok,709,bedok reservoir road,2,2572.70458984375
2022-11,woodlands,721,woodlands circle,4,2958.9921875
2021-11,yishun,621,Yishun Ring Road,2,1978.4755859375
2022-06,jurong west,651a,Jurong West Street 61,3,2884.54052734375
2022-07,jurong west,516,jurong west street 52,3,2251.568603515625
2022-08,ang mo kio,235,Ang Mo Kio Avenue 3,2,1976.3433837890625
2021-02,toa payoh,55,Lorong 5 Toa Payoh,1,1471.7320556640625
2021-11,sengkang,129,rivervale street,3,2114.06787109375
2022-11,serangoon,210,Serangoon Central,2,2519.87890625
2021-10,tampines,871b,tampines street 86,3,2606.086181640625
2023-04,bukit merah,15,telok blangah crescent,2,2332.798583984375
2022-04,sengkang,159a,Rivervale Crescent,3,2150.493896484375
2022-03,kallang/whampoa,75,whampoa drive,2,2087.272216796875
2021-06,kallang/whampoa,60,geylang bahru,3,2360.122802734375
2021-03,jurong west,606,Jurong West Street 65,3,2420.358642578125
2023-05,kallang/whampoa,816,jellicoe road,4,3508.61376953125
2022-07,geylang,56,Cassia Crescent,3,2686.611083984375
2021-01,sembawang,341,sembawang close,5,2481.8798828125
2022-09,woodlands,504,woodlands drive 14,4,3430.638671875
2021-01,jurong west,686b,jurong west central 1,4,2576.464111328125
2023-02,bukit merah,21,lim liak street,2,4761.4384765625
2022-12,bedok,34,Bedok Sth Avenue 2,3,2986.2099609375
2022-04,ang mo kio,503,ang mo kio avenue 5,2,2051.201171875
2022-08,bukit batok,102,Bukit Batok West Avenue 6,3,3018.861083984375
2023-03,bukit batok,503,bukit batok street 52,2,2711.609619140625
2022-01,queenstown,111,Commonwealth Crescent,1,1736.044921875
2021-09,woodlands,311,woodlands street 31,2,1817.86083984375
2022-03,toa payoh,13,lorong 7 toa payoh,2,1881.7308349609375
2021-02,tampines,740,tampines street 72,5,2489.3837890625
2022-09,bukit batok,539,Bukit Batok Street 52,2,2346.678466796875
2023-05,sembawang,501c,wellington circle,4,2694.86865234375
2023-05,marine parade,55,Marine Terrace,3,3407.407958984375
2022-12,bishan,506,bishan street 11,4,4427.65185546875
2021-08,choa chu kang,757,Choa Chu Kang North 5,5,2528.517822265625
2021-06,clementi,348,Clementi Avenue 5,3,2682.06201171875
2021-12,bukit panjang,412,Saujana Road,3,2246.958984375
2021-08,queenstown,21,holland drive,4,3164.434326171875
2021-12,woodlands,648,Woodlands Ring Road,5,2398.260009765625
2022-11,punggol,111,edgefield plains,3,2731.9921875
2021-07,bukit batok,533,Bukit Batok Street 51,2,1932.2109375
2023-04,punggol,103c,edgefield plains,4,2407.572021484375
2022-01,hougang,649,hougang avenue 8,4,2904.443359375
2021-04,kallang/whampoa,27,jalan bahagia,2,1816.099853515625
2023-02,clementi,375,Clementi Avenue 4,2,3237.560791015625
2021-12,woodlands,572a,Woodlands Avenue 1,4,2727.13623046875
2021-11,punggol,623c,punggol central,3,2276.03466796875
2022-09,woodlands,582,Woodlands Drive 16,4,2605.712890625
2021-07,pasir ris,571,pasir ris street 53,4,2468.782958984375
2023-07,pasir ris,569,pasir ris street 51,3,3600.76708984375
2021-08,sengkang,227b,Compassvale Drive,4,2164.826171875
2021-04,serangoon,228,Serangoon Avenue 4,3,2366.315185546875
2023-03,tampines,259,Tampines Street 21,3,3061.928955078125
2021-06,ang mo kio,534,Ang Mo Kio Avenue 10,3,2153.0234375
2021-12,tampines,222,tampines street 24,2,2222.52734375
2021-04,clementi,462,clementi avenue 3,3,2729.24365234375
2023-02,bedok,545,Bedok North Street 3,2,2323.846923828125
2022-04,sengkang,257c,Compassvale Road,3,2582.355224609375
2022-07,punggol,105c,edgefield plains,4,2572.88671875
2021-08,queenstown,23,Dover Crescent,3,2552.282958984375
2022-10,queenstown,89,Tanglin Halt Road,3,3887.390625
2023-07,serangoon,511,Serangoon North Avenue 4,4,4401.751953125
2022-11,kallang/whampoa,119,Mcnair Road,3,2989.47802734375
2021-08,sengkang,307b,Anchorvale Road,5,2405.6953125
2023-05,pasir ris,763,Pasir Ris Street 71,3,3477.789306640625
2022-07,jurong west,649b,Jurong West Street 61,3,2796.050048828125
2021-07,tampines,875,tampines street 84,2,1888.6292724609375
2022-01,jurong west,156,yung loh road,4,2227.97998046875
2021-06,queenstown,19,queen's close,3,2387.738037109375
2023-07,hougang,173,Hougang Avenue 1,3,2950.952392578125
2022-05,ang mo kio,415,ang mo kio avenue 10,3,2723.49169921875
2023-07,yishun,424c,yishun avenue 11,2,2850.618408203125
2022-01,sengkang,316c,anchorvale link,5,2543.58251953125
2023-07,woodlands,23,Marsiling Drive,3,2946.278076171875
2021-01,central,1c,cantonment road,3,3256.441162109375
2021-07,woodlands,684d,Woodlands Drive 73,4,2217.66455078125
2022-10,tampines,871,tampines street 84,3,2428.880859375
2021-04,yishun,128,yishun street 11,2,1906.4857177734375
2023-01,punggol,107d,Edgefield Plains,4,3327.976806640625
2022-03,jurong west,672a,jurong west street 65,4,2429.901611328125
2021-07,serangoon,325,serangoon avenue 3,3,2794.672119140625
2023-03,hougang,580,hougang avenue 4,3,2026.5384521484375
2023-01,sengkang,252,Compassvale Street,4,3489.60546875
2022-10,sengkang,307d,anchorvale road,4,3500.46044921875
2023-01,geylang,33,Balam Road,4,3837.197998046875
2022-07,bukit merah,61,telok blangah hts,2,2085.784912109375
2023-04,choa chu kang,690d,choa chu kang crescent,3,3066.791259765625
2023-06,hougang,838,Hougang Central,3,3306.59326171875
2022-07,woodlands,12,Marsiling Lane,2,2070.8740234375
2021-05,bukit batok,536,bukit batok street 52,3,2313.221435546875
2021-08,clementi,356,Clementi Avenue 2,4,3190.37060546875
2021-04,bukit merah,131,Jalan Bukit Merah,2,2157.04296875
2021-04,kallang/whampoa,105,towner road,2,2363.1064453125
2023-07,bukit batok,301,bukit batok street 31,3,3831.246826171875
2021-02,woodlands,687b,woodlands drive 75,4,2048.23291015625
2021-05,bukit panjang,185,Jelebu Road,4,2581.14453125
2021-01,bukit merah,23,jalan membina,4,3024.1181640625
2021-06,bedok,525,bedok north street 3,2,1631.114013671875
2023-01,bedok,19,Chai Chee Road,2,2111.426025390625
2021-08,tampines,519b,tampines central 8,3,2468.34814453125
2021-09,kallang/whampoa,813,jellicoe road,3,2900.435546875
2021-05,bishan,161,Bishan Street 13,4,2729.4384765625
2022-01,bedok,26,chai chee road,4,2771.123779296875
2022-04,bukit batok,206,Bukit Batok Street 21,3,2413.958984375
2021-01,bukit batok,371,Bukit Batok Street 31,2,1842.915283203125
2021-02,hougang,302,Hougang Avenue 5,4,2308.116943359375
2022-04,tampines,444,Tampines Street 42,2,2160.687255859375
2021-11,bedok,55,Chai Chee Drive,2,2037.86083984375
2021-12,bedok,549,Bedok North Avenue 1,2,2207.177001953125
2023-04,choa chu kang,684b,choa chu kang crescent,4,2436.59814453125
2021-01,punggol,199c,punggol field,4,2029.4215087890625
2022-05,clementi,461,clementi avenue 3,4,2979.556396484375
2021-08,tampines,494b,tampines avenue 9,4,2234.255615234375
2023-01,geylang,319,ubi avenue 1,3,2767.005615234375
2021-11,woodlands,528,Woodlands Drive 14,3,2339.02490234375
2022-10,bukit batok,510,Bukit Batok Street 52,3,2533.605224609375
2021-01,yishun,215,yishun street 21,2,1712.19140625
2021-11,pasir ris,229,Pasir Ris Street 21,3,2253.622802734375
2021-05,tampines,427,tampines street 41,5,2499.098388671875
2023-07,tampines,410,Tampines Street 41,2,2836.008056640625
2022-01,jurong west,432,Jurong West Street 42,3,2627.513671875
2022-09,ang mo kio,150,Ang Mo Kio Avenue 5,2,2352.96240234375
2023-04,jurong west,465,Jurong West Street 41,3,3530.9091796875
2023-05,toa payoh,20,Lorong 7 Toa Payoh,2,2783.171142578125
2021-10,ang mo kio,604,ang mo kio avenue 5,2,1752.4849853515625
2023-07,bukit panjang,656,Senja Road,4,3703.609375
2022-03,tampines,845,tampines street 83,2,2456.61767578125
2022-05,bukit merah,84,telok blangah hts,4,2961.96240234375
2022-07,sengkang,404b,Fernvale Lane,3,2629.59130859375
2022-12,yishun,821,Yishun Street 81,3,2833.49755859375
2021-01,bukit panjang,125,pending road,2,1685.8138427734375
2022-06,queenstown,58,Strathmore Avenue,3,2907.469970703125
2023-01,bukit merah,26b,Jalan Membina,3,4079.259033203125
2021-05,bukit merah,75a,redhill road,3,3086.658447265625
2022-09,tampines,890c,Tampines Avenue 1,2,2667.024658203125
2021-10,bedok,404,bedok north avenue 3,3,2410.864990234375
2022-03,toa payoh,25,toa payoh east,2,2273.225341796875
2021-12,kallang/whampoa,98,whampoa drive,2,2098.682861328125
2022-09,jurong west,352,kang ching road,3,2542.464599609375
2022-06,sembawang,463a,sembawang drive,1,1158.7156982421875
2021-06,tampines,270,tampines street 21,2,1799.73046875
2022-03,hougang,674,hougang avenue 8,2,2159.634521484375
2023-04,pasir ris,772,Pasir Ris Street 71,3,3215.103271484375
2022-07,jurong east,201,jurong east street 21,4,2834.605224609375
2021-04,yishun,201,yishun street 21,2,1779.7252197265625
2023-06,hougang,116,hougang avenue 1,2,2665.3583984375
2021-06,choa chu kang,26,teck whye lane,2,1619.593994140625
2021-03,bukit merah,4a,boon tiong road,4,3258.34521484375
2021-03,sengkang,258c,compassvale road,4,2228.4501953125
2021-05,choa chu kang,683b,choa chu kang crescent,4,1974.6409912109375
2022-07,clementi,327,clementi avenue 5,2,2765.155517578125
2022-09,jurong west,989c,jurong west street 93,4,3589.412841796875
2021-05,bedok,140,Bedok North Street 2,4,2595.493408203125
2021-02,jurong west,686c,Jurong West Central 1,4,2377.613037109375
2023-05,punggol,306b,punggol place,3,3763.742919921875
2022-01,sengkang,408c,Fernvale Road,3,2237.89453125
2021-10,woodlands,421,woodlands street 41,3,2432.918701171875
2022-05,sembawang,305,Canberra Road,4,2542.833740234375
2022-06,toa payoh,128,lorong 1 toa payoh,2,2443.411376953125
2021-03,sengkang,323c,Sengkang East Way,4,2302.494140625
2022-09,bukit merah,77a,redhill road,3,4226.62060546875
2022-11,punggol,613d,Punggol Drive,3,3485.4150390625
2023-05,tampines,145,simei street 2,4,3914.83740234375
2022-04,central,535,upper cross street,2,2488.983154296875
2021-05,woodlands,686c,woodlands drive 73,4,2127.80712890625
2022-08,tampines,735,tampines street 72,3,2291.137451171875
2021-03,queenstown,110,Commonwealth Crescent,2,2051.494140625
2022-01,jurong west,664a,Jurong West Street 64,4,2357.294677734375
2023-06,tampines,290,tampines street 22,2,2501.180419921875
2022-06,toa payoh,138c,lorong 1a toa payoh,3,3371.271240234375
2021-06,geylang,91,paya lebar way,2,1654.491943359375
2023-01,punggol,635b,punggol drive,3,3405.716064453125
2022-05,choa chu kang,691a,choa chu kang crescent,3,2434.79150390625
2021-03,pasir ris,770,Pasir Ris Street 71,4,2253.439697265625
2021-11,tampines,387,Tampines Street 32,4,2569.49169921875
2023-02,serangoon,227,serangoon avenue 4,2,3314.677001953125
2022-05,ang mo kio,513,Ang Mo Kio Avenue 8,2,2331.68505859375
2021-12,pasir ris,569,pasir ris street 51,4,2203.140625
2022-02,kallang/whampoa,38b,Bendemeer Road,3,2392.048583984375
2021-05,bukit panjang,530,jelapang road,3,1929.4471435546875
2021-01,sengkang,132,rivervale street,3,2011.9027099609375
2023-03,pasir ris,472,Pasir Ris Drive 6,3,2826.54931640625
2022-12,sengkang,412a,fernvale link,4,2612.733642578125
2022-05,woodlands,509,woodlands drive 14,5,2366.75537109375
2021-10,sengkang,294a,compassvale crescent,3,2432.24853515625
2023-07,queenstown,109,commonwealth crescent,2,3815.890869140625
2021-11,clementi,379,clementi avenue 5,2,2012.7657470703125
2023-03,sengkang,416a,fernvale link,3,3208.224853515625
2022-08,ang mo kio,635,ang mo kio avenue 6,2,2415.771728515625
2023-06,clementi,709,clementi west street 2,3,3133.71044921875
2022-04,woodlands,831,Woodlands Street 83,4,2527.137451171875
2021-06,bedok,30,New Upper Changi Road,2,1968.6875
2021-09,tampines,341,Tampines Street 33,3,2273.9384765625
2021-11,tampines,491a,tampines avenue 9,4,2372.77294921875
2023-03,choa chu kang,441,Choa Chu Kang Avenue 4,3,3063.44091796875
2022-08,jurong west,838,Jurong West Street 81,4,2673.806396484375
2021-06,sengkang,272a,Sengkang Central,3,2167.475341796875
2022-08,sengkang,270a,sengkang central,3,2441.583740234375
2022-01,toa payoh,241,Kim Keat Link,3,2431.593017578125
2021-11,bukit merah,121a,Kim Tian Place,4,3170.96923828125
2021-05,jurong east,301,jurong east street 32,3,2131.15673828125
2022-05,woodlands,729,woodlands circle,3,2438.6884765625
2021-01,jurong west,337b,Tah Ching Road,3,2096.765380859375
2021-09,punggol,174c,edgedale plains,4,2063.882568359375
2023-02,punggol,175c,Punggol Field,4,3788.818115234375
2021-01,sengkang,101,rivervale walk,3,1931.414306640625
2023-03,bukit batok,531,bukit batok street 51,4,2495.534423828125
2022-05,bukit merah,63,telok blangah hts,2,2435.904052734375
2022-06,bedok,537,Bedok North Street 3,2,2057.1171875
2022-08,jurong west,826,jurong west street 81,4,3295.7060546875
2023-03,yishun,103,Yishun Ring Road,2,2653.497802734375
2021-09,yishun,273,yishun street 22,3,2218.59375
2022-12,choa chu kang,686c,choa chu kang crescent,3,3312.1279296875
2022-06,geylang,315,ubi avenue 1,3,2670.81982421875
2022-01,tampines,407,tampines street 41,2,2014.9815673828125
2022-09,bedok,133,bedok north avenue 3,3,2768.896240234375
2021-09,ang mo kio,319,ang mo kio avenue 1,2,1926.0966796875
2021-06,tampines,909,tampines avenue 4,2,2112.010009765625
2022-06,ang mo kio,700b,ang mo kio avenue 6,3,2779.7412109375
2021-01,central,637,veerasamy road,3,2490.23974609375
2021-08,central,264,waterloo street,2,2271.08203125
2022-08,bukit batok,410,bukit batok west avenue 4,2,2409.050048828125
2022-06,clementi,509,West Coast Drive,2,2168.9296875
2021-11,choa chu kang,690d,Choa Chu Kang Crescent,3,2289.135498046875
2022-10,central,662,buffalo road,3,3216.7666015625
2023-03,bukit batok,203,bukit batok street 21,2,2443.412109375
2021-02,bukit panjang,476,segar road,4,2182.55126953125
2023-01,tampines,301,tampines street 32,3,3495.799560546875
2022-02,bukit merah,119c,kim tian road,3,2822.74609375
2021-09,jurong east,405,pandan gardens,4,2369.868408203125
2023-02,sengkang,405b,Fernvale Lane,4,3166.155517578125
2023-01,jurong west,811,jurong west street 81,4,3818.566162109375
2021-11,bukit merah,37,Jalan Rumah Tinggi,2,2263.865966796875
2021-02,woodlands,511,woodlands drive 14,4,2307.079833984375
2022-11,hougang,128,lorong ah soo,5,3110.253173828125
2021-12,yishun,634,yishun street 61,3,1973.695556640625
2023-05,yishun,737,Yishun Street 72,3,3466.8046875
2022-08,pasir ris,740,pasir ris street 71,3,2944.0751953125
2021-06,yishun,296,yishun street 20,3,2093.742431640625
2021-10,clementi,433,Clementi Avenue 3,2,1955.46728515625
2021-05,tampines,868b,tampines avenue 8,3,2473.2080078125
2021-09,woodlands,514,woodlands drive 14,4,2473.58642578125
2022-02,toa payoh,80a,lorong 4 toa payoh,3,2440.40966796875
2022-03,yishun,663,Yishun Avenue 4,4,2531.48095703125
2021-01,bukit panjang,115,Pending Road,2,1796.8802490234375
2021-12,punggol,270a,Punggol Field,3,2354.080810546875
2021-08,tampines,202,tampines street 21,2,1998.723388671875
2023-03,woodlands,628b,Woodlands Ring Road,4,3510.513671875
2022-01,jurong west,938,Jurong West Street 91,4,2801.505859375
2022-07,marine parade,29,marine crescent,4,2205.05078125
2021-01,queenstown,18b,holland drive,3,2739.583984375
2023-03,bukit panjang,148,Gangsa Road,3,2479.71044921875
2021-03,yishun,317c,yishun avenue 9,3,2070.046875
2023-07,geylang,36,circuit road,3,2748.25732421875
2023-03,woodlands,890b,woodlands drive 50,4,2599.563720703125
2022-12,bedok,45,Chai Chee Street,2,2629.086181640625
2022-06,sengkang,207d,Compassvale Lane,3,2389.6064453125
2023-04,serangoon,204,serangoon central,2,3232.3037109375
2022-04,choa chu kang,657,choa chu kang crescent,3,2184.408447265625
2021-12,jurong west,532,jurong west street 52,4,2586.75048828125
2022-08,bukit batok,626,Bukit Batok Central,4,3206.846435546875
2021-05,kallang/whampoa,816,Jellicoe Road,4,2835.690185546875
2021-03,punggol,642a,punggol drive,4,2232.054443359375
2021-12,sengkang,325a,sengkang east way,3,2112.656982421875
2021-04,jurong west,516,Jurong West Street 52,2,1903.97021484375
2022-07,kallang/whampoa,107,Towner Road,2,2819.644287109375
2021-05,bedok,141,bedok reservoir road,3,2071.9521484375
2022-12,ang mo kio,613,Ang Mo Kio Avenue 4,5,3749.940185546875
2022-05,choa chu kang,677,choa chu kang crescent,3,2844.052490234375
2021-10,bedok,104,Bedok North Avenue 4,2,1945.6905517578125
2023-04,toa payoh,54,Lorong 5 Toa Payoh,1,1958.6986083984375
2021-01,bedok,129,Bedok North Street 2,3,2329.905517578125
2021-06,sengkang,302b,anchorvale link,1,1367.9683837890625
2021-07,queenstown,112,commonwealth crescent,2,1921.6640625
2022-08,marine parade,66,Marine Drive,2,2067.5380859375
2023-01,toa payoh,141,Lorong 2 Toa Payoh,3,3575.961181640625
2021-04,bukit batok,626,Bukit Batok Central,4,2420.64208984375
2023-06,woodlands,34,Marsiling Drive,3,2378.2587890625
2022-02,queenstown,58,Stirling Road,2,2379.510986328125
2023-04,toa payoh,232,Lorong 8 Toa Payoh,2,2736.442138671875
2022-02,jurong west,669a,jurong west street 64,5,2549.62646484375
2022-07,geylang,98,Aljunied Crescent,2,2367.139404296875
2021-05,tampines,899a,tampines street 81,2,1817.013427734375
2021-04,woodlands,101,woodlands street 13,2,1728.44091796875
2021-07,yishun,425,Yishun Avenue 11,3,2129.982177734375
2021-05,bedok,606,Bedok Reservoir Road,2,1866.348388671875
2022-10,jurong east,214,jurong east street 21,2,2087.001953125
2022-11,toa payoh,73,Lorong 4 Toa Payoh,2,2342.40234375
2021-08,choa chu kang,110,Teck Whye Lane,2,1880.123046875
2023-01,woodlands,528,woodlands drive 14,3,2990.47607421875
2021-12,ang mo kio,596c,Ang Mo Kio Street 52,3,2366.0947265625
2023-07,clementi,371,clementi avenue 4,2,3068.677978515625
2023-07,yishun,505a,yishun street 51,2,2824.827392578125
2022-06,queenstown,61a,strathmore avenue,3,3163.696533203125
2022-02,punggol,672b,edgefield plains,2,1982.22998046875
2023-03,tampines,149,tampines street 12,5,3733.217041015625
2021-09,queenstown,94,commonwealth drive,2,2039.6881103515625
2023-07,choa chu kang,215,choa chu kang central,3,3269.870361328125
2021-09,woodlands,630,woodlands ring road,4,2436.287841796875
2021-06,bedok,54,Chai Chee Street,3,2075.37744140625
2022-03,jurong west,718,Jurong West Street 71,3,2236.870849609375
2021-03,ang mo kio,309a,ang mo kio street 31,4,2469.80029296875
2021-04,bukit batok,207,bukit batok street 21,2,1891.6009521484375
2021-04,choa chu kang,472,choa chu kang avenue 3,3,1941.9205322265625
2022-11,sembawang,508a,Wellington Circle,3,3414.571533203125
2021-07,choa chu kang,118,teck whye lane,3,2356.639892578125
2022-07,sengkang,121d,sengkang east way,4,2165.072509765625
2023-06,bukit batok,298,bukit batok street 22,4,3932.03369140625
2022-03,marine parade,17,marine terrace,3,2374.214111328125
2022-03,marine parade,27,Marine Crescent,4,2706.9296875
2022-01,bukit batok,119,Bukit Batok West Avenue 6,3,2213.9501953125
2023-01,tampines,741,Tampines Street 72,3,3559.03857421875
2021-03,pasir ris,138,pasir ris street 11,3,2123.604248046875
2023-01,tampines,274,tampines street 22,2,2091.1171875
2023-02,kallang/whampoa,11,upper boon keng road,2,2115.76904296875
2023-03,yishun,646,Yishun Street 61,3,3347.856201171875
2023-06,bedok,428,bedok north road,3,3210.0224609375
2022-08,jurong west,681c,jurong west central 1,3,2752.0126953125
2021-09,woodlands,352,Woodlands Avenue 1,4,2197.617431640625
2023-07,bukit panjang,655,Senja Road,5,3918.736572265625
2022-02,choa chu kang,456,choa chu kang avenue 4,3,1806.8304443359375
2021-09,punggol,679a,punggol drive,3,2650.693603515625
2021-07,clementi,411,commonwealth avenue west,3,2537.018310546875
2022-01,bukit batok,185,bukit batok west avenue 6,3,2265.57470703125
2023-07,woodlands,682d,woodlands drive 73,4,3162.076171875
2022-07,hougang,526,hougang avenue 6,3,2699.251708984375
2021-04,kallang/whampoa,30,Jalan Bahagia,3,2563.6611328125
2021-01,sengkang,185c,Rivervale Crescent,3,2068.7412109375
2023-02,bukit batok,186,bukit batok west avenue 6,4,3496.860595703125
2021-05,jurong west,273d,jurong west avenue 3,3,2122.410400390625
2021-04,yishun,603,yishun street 61,4,2191.228759765625
2021-06,bukit batok,180,bukit batok west avenue 8,2,1857.3197021484375
2023-02,sengkang,313d,anchorvale road,5,2974.12939453125
2022-02,ang mo kio,617,ang mo kio avenue 4,3,2135.821533203125
2023-07,bedok,617,Bedok Reservoir Road,2,3102.76123046875
2021-02,ang mo kio,512,Ang Mo Kio Avenue 8,2,1871.51806640625
2023-04,sengkang,124,Rivervale Drive,4,3337.88623046875
2021-09,sengkang,262d,compassvale street,4,2150.216552734375
2023-06,tampines,423,tampines street 41,4,3653.041748046875
2022-08,jurong west,666a,Jurong West Street 65,5,2941.751708984375
2021-12,jurong west,989c,jurong west street 93,4,2713.013671875
2021-12,jurong east,279,Toh Guan Road,3,2352.01025390625
2022-06,jurong west,411,jurong west street 42,3,2670.548095703125
2023-06,bedok,501,Bedok North Street 3,2,3187.630859375
2021-12,bukit batok,416,bukit batok west avenue 4,3,2526.0087890625
2022-04,yishun,651,Yishun Avenue 4,4,2454.48779296875
2022-04,pasir ris,419,Pasir Ris Drive 6,3,2471.860595703125
2022-05,marine parade,33,marine crescent,2,2345.119873046875
2021-11,clementi,350,Clementi Avenue 2,3,2500.0927734375
2021-11,toa payoh,111,Lorong 1 Toa Payoh,2,2025.8287353515625
2022-11,choa chu kang,490c,choa chu kang avenue 5,3,4006.930419921875
2023-04,clementi,329,clementi avenue 2,2,3129.992431640625
2021-08,bishan,211,Bishan Street 23,3,2442.51611328125
2021-05,bukit merah,40,jalan rumah tinggi,3,2548.292724609375
2023-06,tampines,165,simei road,4,3311.400634765625
2021-06,bishan,243,bishan street 22,3,2476.37646484375
2021-02,tampines,203,Tampines Street 21,2,1885.246826171875
2021-01,sembawang,418,canberra road,3,1897.3814697265625
2023-04,jurong west,412,jurong west street 42,3,2488.550048828125
2022-12,yishun,816,Yishun Street 81,3,2967.848388671875
2021-01,bedok,520,Bedok North Avenue 1,2,1953.55615234375
2021-01,serangoon,116,serangoon north avenue 1,4,2239.888427734375
2021-03,bukit merah,118d,jalan membina,3,2596.27587890625
2023-03,kallang/whampoa,122,mcnair road,2,3033.08837890625
2021-06,hougang,926,hougang street 91,3,2170.465576171875
2023-04,jurong west,681b,jurong west central 1,4,3987.718017578125
2022-05,pasir ris,186,pasir ris street 11,4,2226.403564453125
2022-08,hougang,606,Hougang Avenue 4,3,2361.403076171875
2022-08,ang mo kio,596a,ang mo kio street 52,3,2738.60693359375
2021-05,toa payoh,27,Toa Payoh East,2,1975.919921875
2022-11,bukit panjang,448,bukit panjang ring road,3,2837.400146484375
2021-07,jurong west,659a,jurong west street 65,3,2370.49462890625
2023-01,ang mo kio,331,Ang Mo Kio Avenue 1,3,3924.10302734375
2021-10,tampines,837,tampines street 83,3,2135.09912109375
2022-10,sengkang,309d,Anchorvale Road,4,3254.935791015625
2022-08,jurong west,476,jurong west street 41,2,2313.328125
2023-07,geylang,32,balam road,1,2417.268310546875
2021-11,bukit panjang,636a,Senja Road,1,1599.8046875
2022-07,jurong west,524,Jurong West Street 52,3,2769.264404296875
2023-06,clementi,325,Clementi Avenue 5,3,4417.68798828125
2021-09,ang mo kio,301,ang mo kio avenue 3,2,1856.485595703125
2021-12,woodlands,602,Woodlands Drive 42,3,2288.106689453125
2021-02,tampines,116,simei street 1,3,2185.16943359375
2021-11,tampines,360,tampines street 34,4,2583.09765625
2021-09,yishun,114,yishun ring road,3,2150.779052734375
2022-03,clementi,703,west coast road,2,2121.010009765625
2021-10,bukit merah,120,bukit merah view,3,2618.302978515625
2021-04,bedok,129,bedok north street 2,3,2284.918212890625
2022-10,yishun,219,yishun street 21,2,2943.84765625
2022-08,pasir ris,577,Pasir Ris Street 53,4,3524.89111328125
2022-01,bukit merah,59,Telok Blangah Hts,3,2791.18310546875
2023-05,pasir ris,407,pasir ris drive 6,3,4160.3623046875
2021-06,sengkang,406b,fernvale road,4,2036.7904052734375
2021-11,sembawang,340a,sembawang close,3,2446.91748046875
2022-03,bedok,670,Jalan Damai,4,2701.8251953125
2023-07,jurong west,209,boon lay place,2,2854.07958984375
2022-09,sengkang,418c,Fernvale Link,3,3156.237548828125
2022-04,punggol,186,Punggol Central,5,2535.75732421875
2021-05,kallang/whampoa,106,jalan rajah,5,2682.078369140625
2021-02,punggol,669b,edgefield plains,3,1706.0499267578125
2021-03,kallang/whampoa,34,Whampoa West,2,2006.1925048828125
2022-08,clementi,349,Clementi Avenue 2,3,3927.556396484375
2023-07,bukit merah,45,telok blangah drive,1,2345.8173828125
2023-06,jurong west,816,Jurong West Street 81,3,2832.99658203125
2021-03,pasir ris,562,Pasir Ris Street 51,4,2093.799072265625
2022-01,bukit merah,28,Hoy Fatt Road,2,2230.75
2022-03,bedok,744,bedok reservoir road,2,2126.800048828125
2021-10,bukit panjang,633d,senja road,2,1777.461669921875
2023-07,clementi,450,Clementi Avenue 3,2,2285.223388671875
2022-05,choa chu kang,470,Choa Chu Kang Avenue 3,4,2877.13623046875
2022-09,queenstown,27,dover crescent,4,3267.431396484375
2022-05,choa chu kang,790,choa chu kang north 6,4,2452.927490234375
2022-01,ang mo kio,610,ang mo kio avenue 4,2,2104.79150390625
2022-09,toa payoh,56,lorong 4 toa payoh,1,2364.18896484375
2023-02,queenstown,90,Tanglin Halt Road,4,4684.3466796875
